Algorithm,Dataset,Core,Eps,Batch,timeAll,timeP,timeC,timeW,timeS,timeUNV,timeUR,timeU,numIter,numOrgVerts,numSimpVerts
P-Weld-Async,bunny,16,2.800,-1,0.003836766,0.002694189,0.000639321,0.000146091,-1.000000000,-1.000000000,-1.000000000,0.000357165,-1,-1,35911
P-Weld-Async,bunny,1,2.800,-1,0.012400538,0.011603785,0.000463291,0.000127460,-1.000000000,-1.000000000,-1.000000000,0.000206003,-1,-1,35911
P-Weld-Async,bunny,2,2.800,-1,0.006528208,0.005886864,0.000362766,0.000064093,-1.000000000,-1.000000000,-1.000000000,0.000214484,-1,-1,35911
P-Weld-Async,bunny,32,2.800,-1,0.017974217,0.016455440,0.000877574,0.000326882,-1.000000000,-1.000000000,-1.000000000,0.000314321,-1,-1,35911
P-Weld-Async,bunny,4,2.800,-1,0.004051594,0.003320639,0.000401336,0.000049644,-1.000000000,-1.000000000,-1.000000000,0.000279974,-1,-1,35911
P-Weld-Async,bunny,64,2.800,-1,0.043488760,0.042320225,0.000656423,0.000090231,-1.000000000,-1.000000000,-1.000000000,0.000421880,-1,-1,35911
P-Weld-Async,bunny,8,2.800,-1,0.002442188,0.001749176,0.000378393,0.000031377,-1.000000000,-1.000000000,-1.000000000,0.000283241,-1,-1,35911
P-Weld-Async,bunny,16,9.965,-1,0.003542668,0.001727952,0.001228609,0.000171998,-1.000000000,-1.000000000,-1.000000000,0.000414111,-1,-1,32352
P-Weld-Async,bunny,1,9.965,-1,0.018185523,0.017001460,0.000771350,0.000206181,-1.000000000,-1.000000000,-1.000000000,0.000206533,-1,-1,32352
P-Weld-Async,bunny,2,9.965,-1,0.010498078,0.008966534,0.000974090,0.000248383,-1.000000000,-1.000000000,-1.000000000,0.000309071,-1,-1,32352
P-Weld-Async,bunny,32,9.965,-1,0.003141006,0.001148813,0.001347196,0.000211528,-1.000000000,-1.000000000,-1.000000000,0.000433469,-1,-1,32352
P-Weld-Async,bunny,4,9.965,-1,0.006750688,0.005007852,0.001105632,0.000232938,-1.000000000,-1.000000000,-1.000000000,0.000404267,-1,-1,32352
P-Weld-Async,bunny,64,9.965,-1,0.034576217,0.032447580,0.001525120,0.000227642,-1.000000000,-1.000000000,-1.000000000,0.000375874,-1,-1,32352
P-Weld-Async,bunny,8,9.965,-1,0.004753944,0.002985846,0.001166618,0.000196761,-1.000000000,-1.000000000,-1.000000000,0.000404719,-1,-1,32352
P-Weld-Async,bunny,16,4.280,-1,0.002426351,0.001261427,0.000670114,0.000080017,-1.000000000,-1.000000000,-1.000000000,0.000414793,-1,-1,35588
P-Weld-Async,bunny,1,4.280,-1,0.013756189,0.012912125,0.000493563,0.000148550,-1.000000000,-1.000000000,-1.000000000,0.000201952,-1,-1,35588
P-Weld-Async,bunny,2,4.280,-1,0.007691673,0.006728377,0.000546192,0.000124161,-1.000000000,-1.000000000,-1.000000000,0.000292944,-1,-1,35588
P-Weld-Async,bunny,32,4.280,-1,0.002006483,0.000812095,0.000695892,0.000128876,-1.000000000,-1.000000000,-1.000000000,0.000369621,-1,-1,35588
P-Weld-Async,bunny,4,4.280,-1,0.004986120,0.003853957,0.000634948,0.000101749,-1.000000000,-1.000000000,-1.000000000,0.000395465,-1,-1,35588
P-Weld-Async,bunny,64,4.280,-1,0.047662156,0.046277695,0.000811350,0.000156327,-1.000000000,-1.000000000,-1.000000000,0.000416784,-1,-1,35588
P-Weld-Async,bunny,8,4.280,-1,0.003328423,0.002214498,0.000637131,0.000088073,-1.000000000,-1.000000000,-1.000000000,0.000388721,-1,-1,35588
P-Weld-Async,bunny,16,1.209,-1,0.007154760,0.005144192,0.001158970,0.000518155,-1.000000000,-1.000000000,-1.000000000,0.000333443,-1,-1,17977
P-Weld-Async,bunny,1,1.209,-1,0.023243008,0.021629950,0.000964391,0.000446290,-1.000000000,-1.000000000,-1.000000000,0.000202376,-1,-1,17977
P-Weld-Async,bunny,2,1.209,-1,0.012280600,0.010948380,0.000788778,0.000332937,-1.000000000,-1.000000000,-1.000000000,0.000210505,-1,-1,17977
P-Weld-Async,bunny,32,1.209,-1,0.021141897,0.018066920,0.001748020,0.000993148,-1.000000000,-1.000000000,-1.000000000,0.000333808,-1,-1,17977
P-Weld-Async,bunny,4,1.209,-1,0.007106931,0.005773463,0.000783697,0.000269295,-1.000000000,-1.000000000,-1.000000000,0.000280476,-1,-1,17977
P-Weld-Async,bunny,64,1.209,-1,0.049679545,0.047665175,0.001242132,0.000391203,-1.000000000,-1.000000000,-1.000000000,0.000381035,-1,-1,17977
P-Weld-Async,bunny,8,1.209,-1,0.004228924,0.003028094,0.000712944,0.000212452,-1.000000000,-1.000000000,-1.000000000,0.000275434,-1,-1,17977
S-Weld,bunny,16,4.280,-1,0.003705362,-1.000000000,0.002441149,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001283520,-1,-1,35588
S-Weld,bunny,1,4.280,-1,0.015219275,-1.000000000,0.001683063,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001103771,-1,-1,35588
S-Weld,bunny,2,4.280,-1,0.009436997,-1.000000000,0.001898517,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001193823,-1,-1,35588
S-Weld,bunny,32,4.280,-1,0.003234575,-1.000000000,0.002480808,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001183905,-1,-1,35588
S-Weld,bunny,4,4.280,-1,0.006531449,-1.000000000,0.002229225,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001347208,-1,-1,35588
S-Weld,bunny,64,4.280,-1,0.048492905,-1.000000000,0.004144840,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001135968,-1,-1,35588
S-Weld,bunny,8,4.280,-1,0.004778167,-1.000000000,0.002348287,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001338065,-1,-1,35588
S-Weld,bunny,16,1.209,-1,0.012326260,-1.000000000,0.002732112,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001231591,-1,-1,17977
S-Weld,bunny,1,1.209,-1,0.024517605,-1.000000000,0.002196083,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001108942,-1,-1,17977
S-Weld,bunny,2,1.209,-1,0.013437455,-1.000000000,0.002144046,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001107088,-1,-1,17977
S-Weld,bunny,32,1.209,-1,0.006538998,-1.000000000,0.002823211,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001215170,-1,-1,17977
S-Weld,bunny,4,1.209,-1,0.008447897,-1.000000000,0.002303055,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001307391,-1,-1,17977
S-Weld,bunny,64,1.209,-1,0.013930700,-1.000000000,0.005694104,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001380389,-1,-1,17977
S-Weld,bunny,8,1.209,-1,0.005566484,-1.000000000,0.002440678,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001292083,-1,-1,17977
S-Weld,bunny,16,2.800,-1,0.005681037,-1.000000000,0.002065191,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001129863,-1,-1,35911
S-Weld,bunny,1,2.800,-1,0.014044535,-1.000000000,0.001672303,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001080564,-1,-1,35911
S-Weld,bunny,2,2.800,-1,0.007754307,-1.000000000,0.001576124,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001060718,-1,-1,35911
S-Weld,bunny,32,2.800,-1,0.020491735,-1.000000000,0.002028640,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001130051,-1,-1,35911
S-Weld,bunny,4,2.800,-1,0.005265726,-1.000000000,0.001663183,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001141536,-1,-1,35911
S-Weld,bunny,64,2.800,-1,0.050342910,-1.000000000,0.004367899,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001104429,-1,-1,35911
S-Weld,bunny,8,2.800,-1,0.003771136,-1.000000000,0.001923202,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001125398,-1,-1,35911
S-Weld,bunny,16,9.965,-1,0.004638172,-1.000000000,0.003038390,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001506632,-1,-1,32352
S-Weld,bunny,1,9.965,-1,0.019469925,-1.000000000,0.001731449,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001119395,-1,-1,32352
S-Weld,bunny,2,9.965,-1,0.011130735,-1.000000000,0.002005354,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001322411,-1,-1,32352
S-Weld,bunny,32,9.965,-1,0.004128813,-1.000000000,0.003192746,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001445123,-1,-1,32352
S-Weld,bunny,4,9.965,-1,0.007829959,-1.000000000,0.002476262,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001541244,-1,-1,32352
S-Weld,bunny,64,9.965,-1,0.020271055,-1.000000000,0.005336644,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001445081,-1,-1,32352
S-Weld,bunny,8,9.965,-1,0.005893416,-1.000000000,0.002823235,-1.000000000,-1.000000000,-1.000000000,-1.000000000,0.001507120,-1,-1,32352
P-Weld,bunny,16,9.965,-1,0.003421712,0.001664988,0.000622885,0.000165490,0.000308203,-1.000000000,-1.000000000,0.000146258,-1,-1,32352
P-Weld,bunny,1,9.965,-1,0.018012890,0.016913005,0.000493404,0.000185083,0.000174688,-1.000000000,-1.000000000,0.000131047,-1,-1,32352
P-Weld,bunny,2,9.965,-1,0.010519720,0.009111789,0.000593317,0.000219283,0.000198090,-1.000000000,-1.000000000,0.000173135,-1,-1,32352
P-Weld,bunny,32,9.965,-1,0.002738499,0.001058474,0.000602052,0.000193735,0.000236390,-1.000000000,-1.000000000,0.000169160,-1,-1,32352
P-Weld,bunny,4,9.965,-1,0.007035508,0.005324694,0.000745133,0.000199500,0.000305929,-1.000000000,-1.000000000,0.000236620,-1,-1,32352
P-Weld,bunny,64,9.965,-1,0.042307855,0.038823070,0.000599706,0.000277048,0.000240270,-1.000000000,-1.000000000,0.000079275,-1,-1,32352
P-Weld,bunny,8,9.965,-1,0.004774924,0.003100865,0.000576961,0.000177512,0.000231472,-1.000000000,-1.000000000,0.000165183,-1,-1,32352
P-Weld,bunny,16,2.800,-1,0.008879162,0.007507475,0.000427167,0.000135742,0.000172938,-1.000000000,-1.000000000,0.000115476,-1,-1,35911
P-Weld,bunny,1,2.800,-1,0.012652925,0.011681820,0.000362058,0.000106365,0.000121907,-1.000000000,-1.000000000,0.000130836,-1,-1,35911
P-Weld,bunny,2,2.800,-1,0.006787477,0.005965744,0.000260340,0.000060307,0.000128381,-1.000000000,-1.000000000,0.000069040,-1,-1,35911
P-Weld,bunny,32,2.800,-1,0.003800991,0.002337467,0.000605486,0.000295214,0.000172054,-1.000000000,-1.000000000,0.000134970,-1,-1,35911
P-Weld,bunny,4,2.800,-1,0.004242980,0.003316552,0.000370906,0.000035227,0.000242242,-1.000000000,-1.000000000,0.000090780,-1,-1,35911
P-Weld,bunny,64,2.800,-1,0.043819260,0.040213575,0.000655118,0.000116414,0.000421733,-1.000000000,-1.000000000,0.000113735,-1,-1,35911
P-Weld,bunny,8,2.800,-1,0.002612511,0.001789602,0.000269135,0.000026226,0.000153473,-1.000000000,-1.000000000,0.000086997,-1,-1,35911
P-Weld,bunny,16,1.209,-1,0.012099495,0.009506185,0.000957655,0.000526940,0.000316411,-1.000000000,-1.000000000,0.000111090,-1,-1,17977
P-Weld,bunny,1,1.209,-1,0.023054530,0.021667430,0.000785121,0.000415234,0.000237629,-1.000000000,-1.000000000,0.000129502,-1,-1,17977
P-Weld,bunny,2,1.209,-1,0.012159440,0.010975060,0.000615248,0.000310883,0.000232182,-1.000000000,-1.000000000,0.000069558,-1,-1,17977
P-Weld,bunny,32,1.209,-1,0.023536035,0.020029160,0.001337277,0.000946056,0.000246174,-1.000000000,-1.000000000,0.000141516,-1,-1,17977
P-Weld,bunny,4,1.209,-1,0.007679455,0.005877669,0.000696433,0.000256169,0.000315445,-1.000000000,-1.000000000,0.000122007,-1,-1,17977
P-Weld,bunny,64,1.209,-1,0.053707320,0.048477265,0.000927922,0.000538678,0.000284478,-1.000000000,-1.000000000,0.000101576,-1,-1,17977
P-Weld,bunny,8,1.209,-1,0.005157720,0.003223832,0.000606199,0.000198715,0.000325727,-1.000000000,-1.000000000,0.000079176,-1,-1,17977
P-Weld,bunny,16,4.280,-1,0.002466257,0.001277596,0.000433273,0.000086792,0.000204648,-1.000000000,-1.000000000,0.000138854,-1,-1,35588
P-Weld,bunny,1,4.280,-1,0.013932705,0.012945270,0.000380186,0.000117146,0.000132559,-1.000000000,-1.000000000,0.000127796,-1,-1,35588
P-Weld,bunny,2,4.280,-1,0.007874638,0.006759909,0.000432694,0.000114599,0.000158309,-1.000000000,-1.000000000,0.000157190,-1,-1,35588
P-Weld,bunny,32,4.280,-1,0.002080407,0.000845011,0.000503089,0.000124825,0.000211518,-1.000000000,-1.000000000,0.000163933,-1,-1,35588
P-Weld,bunny,4,4.280,-1,0.005355010,0.004046836,0.000553591,0.000092255,0.000266828,-1.000000000,-1.000000000,0.000191396,-1,-1,35588
P-Weld,bunny,64,4.280,-1,0.045747400,0.042136715,0.000641678,0.000150515,0.000413595,-1.000000000,-1.000000000,0.000074307,-1,-1,35588
P-Weld,bunny,8,4.280,-1,0.003439528,0.002261720,0.000463046,0.000081661,0.000206387,-1.000000000,-1.000000000,0.000171986,-1,-1,35588
P-Weld,lucy,64,7.200,-1,19.891000000,18.472805000,0.113463650,0.009720604,0.100211725,-1.000000000,-1.000000000,0.003498076,-1,-1,12615552
P-Weld,lucy,16,8.000,-1,2.118398500,1.586378000,0.115849100,0.016912715,0.079023330,-1.000000000,-1.000000000,0.019876985,-1,-1,14014109
P-Weld,lucy,1,8.000,-1,4.972370500,4.643410500,0.192424850,0.046152440,0.080647770,-1.000000000,-1.000000000,0.065592755,-1,-1,14014109
P-Weld,lucy,2,8.000,-1,2.666387500,2.341032000,0.140603100,0.025189335,0.078300250,-1.000000000,-1.000000000,0.037079125,-1,-1,14014109
P-Weld,lucy,32,8.000,-1,2.732190000,2.180106000,0.116214550,0.017041155,0.079189765,-1.000000000,-1.000000000,0.019944350,-1,-1,14014109
P-Weld,lucy,4,8.000,-1,1.539809000,1.218883500,0.123059200,0.018608870,0.077994295,-1.000000000,-1.000000000,0.026423125,-1,-1,14014109
P-Weld,lucy,64,8.000,-1,18.757975000,17.557820000,0.109063150,0.007427153,0.095972215,-1.000000000,-1.000000000,0.005634537,-1,-1,14014109
P-Weld,lucy,8,8.000,-1,0.968273700,0.641140250,0.114917150,0.016697615,0.078315980,-1.000000000,-1.000000000,0.019869975,-1,-1,14014109
P-Weld,lucy,16,5.009,-1,5.012820500,4.430041500,0.215595000,0.080121525,0.114987200,-1.000000000,-1.000000000,0.020448495,-1,-1,7017600
P-Weld,lucy,1,5.009,-1,10.869255000,10.375725000,0.357144750,0.176478250,0.115025600,-1.000000000,-1.000000000,0.065604560,-1,-1,7017600
P-Weld,lucy,2,5.009,-1,5.702316000,5.229145000,0.276106350,0.124170535,0.114805000,-1.000000000,-1.000000000,0.037095735,-1,-1,7017600
P-Weld,lucy,32,5.009,-1,6.520113500,5.756751500,0.229402750,0.093120425,0.115591850,-1.000000000,-1.000000000,0.020649165,-1,-1,7017600
P-Weld,lucy,4,5.009,-1,3.106458000,2.677635500,0.213483700,0.070971830,0.115713900,-1.000000000,-1.000000000,0.026760985,-1,-1,7017600
P-Weld,lucy,64,5.009,-1,5.827637000,3.908821500,0.164057100,0.030098550,0.130567500,-1.000000000,-1.000000000,0.003358296,-1,-1,7017600
P-Weld,lucy,8,5.009,-1,1.874458500,1.472030000,0.180243350,0.044484295,0.115023600,-1.000000000,-1.000000000,0.020698215,-1,-1,7017600
P-Weld,lucy,64,7.000,-1,17.651385000,16.403925000,0.113388700,0.005870424,0.103656700,-1.000000000,-1.000000000,0.003832469,-1,-1,13891934
P-Weld-Async,lucy,64,7.200,-1,18.909702970,18.448110000,0.312800100,0.008898570,-1.000000000,-1.000000000,-1.000000000,0.139894300,-1,-1,12615552
P-Weld-Async,lucy,16,8.000,-1,4.059920685,3.754242500,0.178547200,0.016960535,-1.000000000,-1.000000000,-1.000000000,0.110170450,-1,-1,14014109
P-Weld-Async,lucy,1,8.000,-1,5.034910715,4.626501000,0.244518250,0.053555965,-1.000000000,-1.000000000,-1.000000000,0.110335500,-1,-1,14014109
P-Weld-Async,lucy,2,8.000,-1,2.674965315,2.340807000,0.197299900,0.027908115,-1.000000000,-1.000000000,-1.000000000,0.108950300,-1,-1,14014109
P-Weld-Async,lucy,32,8.000,-1,1.908875045,1.606435000,0.176048850,0.016982695,-1.000000000,-1.000000000,-1.000000000,0.109408500,-1,-1,14014109
P-Weld-Async,lucy,4,8.000,-1,1.524207080,1.216738000,0.180016850,0.018314480,-1.000000000,-1.000000000,-1.000000000,0.109137750,-1,-1,14014109
P-Weld-Async,lucy,64,8.000,-1,11.488933658,11.166930000,0.176364850,0.004824758,-1.000000000,-1.000000000,-1.000000000,0.140814050,-1,-1,14014109
P-Weld-Async,lucy,8,8.000,-1,0.951179260,0.650100600,0.174631650,0.016866860,-1.000000000,-1.000000000,-1.000000000,0.109580150,-1,-1,14014109
P-Weld-Async,lucy,16,5.009,-1,3.626855715,3.109315500,0.310582550,0.098711965,-1.000000000,-1.000000000,-1.000000000,0.108245700,-1,-1,7017600
P-Weld-Async,lucy,1,5.009,-1,11.076329000,10.330935000,0.449818400,0.186795650,-1.000000000,-1.000000000,-1.000000000,0.108779950,-1,-1,7017600
P-Weld-Async,lucy,2,5.009,-1,5.871611750,5.258887000,0.366019900,0.138174200,-1.000000000,-1.000000000,-1.000000000,0.108530650,-1,-1,7017600
P-Weld-Async,lucy,32,5.009,-1,2.576313925,2.057444000,0.311132400,0.100492775,-1.000000000,-1.000000000,-1.000000000,0.107244750,-1,-1,7017600
P-Weld-Async,lucy,4,5.009,-1,3.315055215,2.841169500,0.289945150,0.076166765,-1.000000000,-1.000000000,-1.000000000,0.107773800,-1,-1,7017600
P-Weld-Async,lucy,64,5.009,-1,19.996183075,19.572125000,0.257555200,0.031586875,-1.000000000,-1.000000000,-1.000000000,0.134916000,-1,-1,7017600
